College Name,Website,City,State,Data Analytics Only,Data Analytics degree/cert Offered,Data Science degree/cert Offered,Offers Certificate,Offers AS,Offer Data Science Course,COUNTY,LATITUDE,LONGITUDE
Chattahoochee Valley Community College,,Phenix City,Alabama,0,0,0,0,0,0,Russell,32.407816,-85.095082
Coastal Alabama Community College,,Bay Minette,Alabama,0,0,0,0,0,0,Baldwin,30.86354,-87.76444
Community College of the Air Force,,Montgomery,Alabama,0,0,0,0,0,0,Montgomery,32.3743,-86.3118
Enterprise State Community College,,Enterprise,Alabama,0,0,0,0,0,0,Coffee,31.340789,-85.842111
Gadsden State Community College,,Gadsden,Alabama,0,0,0,0,0,0,Etowah,33.997248,-86.010279
H. Councill Trenholm State Community College,,Montgomery,Alabama,0,0,0,0,0,0,Montgomery,32.3743,-86.3118
J.F. Drake State Community and Technical College,,Huntsville,Alabama,0,0,0,0,0,0,Madison,34.726866,-86.567318
J. F. Ingram State Technical College,,Deatsville,Alabama,0,0,0,0,0,0,Elmore,32.613405,-86.338211
Jefferson State Community College,,Birmingham,Alabama,0,0,0,0,0,0,Jefferson,33.519,-86.8014
Lawson State Community College,,Birmingham,Alabama,0,0,0,0,0,0,Jefferson,33.519,-86.8014
Lurleen B. Wallace Community College,,Andalusia,Alabama,0,0,0,0,0,0,Covington,31.297142,-86.490468
Marion Military Institute,,Marion,Alabama,0,0,0,0,0,0,Perry,32.646301,-87.331437
Northeast Alabama Community College,,Rainsville,Alabama,0,0,0,0,0,0,De Kalb,34.498884,-85.844605
Northwest–Shoals Community College,,Muscle Shoals,Alabama,0,0,0,0,0,0,Colbert,34.756136,-87.630443
Reid State Technical College,,Evergreen,Alabama,0,0,0,0,0,0,Conecuh,31.460338,-86.963935
Shelton State Community College,,Tuscaloosa,Alabama,0,0,0,0,0,0,Tuscaloosa,33.196891,-87.562666
Snead State Community College,,Boaz,Alabama,0,0,0,0,0,0,Marshall,34.173686,-86.148003
Southern Union State Community College,,Wadley,Alabama,0,0,0,0,0,0,Randolph,33.149192,-85.551344
Wallace Community College,,Dothan,Alabama,0,0,0,0,0,0,Houston,31.202888,-85.418036
Wallace Community College Selma,,Selma,Alabama,0,0,0,0,0,0,Dallas,32.419719,-87.024527
Wallace State Community College,https://www.wallacestate.edu/programs/academic-division/computer-science/index.html,Hanceville,Alabama,1,1,0,1,0,0,Cullman,34.051569,-86.784844
Iḷisaġvik College,https://catalog.ilisagvik.edu/information-technology/certificate/data-analysis-i,Utqiaġvik,Alaska,1,1,0,1,0,0,North Slope,71.323735,-156.682196
Kenai Peninsula College,,Soldotna,Alaska,0,0,0,0,0,0,Kenai Peninsula,60.481778,-151.13582
Kodiak College,,Kodiak,Alaska,0,0,0,0,0,0,Kodiak Island,57.781967,-152.500169
Matanuska–Susitna College,,Palmer,Alaska,0,0,0,0,0,0,Matanuska-Susitna,61.577768,-149.245057
Prince William Sound College,,Valdez,Alaska,0,0,0,0,0,0,Valdez Cordova,60.895044,-146.195628
UAF Community and Technical College,,Fairbanks,Alaska,0,0,0,0,0,0,Fairbanks North Star,64.840238,-147.710431
Bristol Bay Campus,,Dillingham,Alaska,0,0,0,0,0,0,Dillingham,59.059279,-158.973533
Chukchi Campus,,Kotzebue,Alaska,0,0,0,0,0,0,Northwest Arctic,66.846459,-162.126493
Interior Alaska Campus,,Fairbanks,Alaska,0,0,0,0,0,0,Fairbanks North Star,64.840238,-147.710431
Kuskokwim Campus,,Bethel,Alaska,0,0,0,0,0,0,Bethel,60.832389,-161.824053
UAS Sitka Campus,,Sitka,Alaska,0,0,0,0,0,0,Sitka,57.051436,-135.316569
UAS Ketchikan,,Ketchikan,Alaska,0,0,0,0,0,0,Ketchikan Gateway,55.372028,-131.683175
Arizona Western College,https://www.azwestern.edu/degrees-and-certificates/occupational-certificate/data-analytics-professional,Yuma,Arizona,1,1,0,1,0,0,Yuma,32.701507,-114.642362
Central Arizona College,,Coolidge,Arizona,0,0,0,0,0,0,Pinal,32.957399,-111.534378
Cochise College,,Sierra Vista,Arizona,0,0,0,0,0,0,Cochise,31.536467,-110.266565
Coconino County Community College,,Flagstaff,Arizona,0,0,0,0,0,0,Coconino,35.185911,-111.661979
Diné College,,Tsaile,Arizona,0,0,0,0,0,0,Apache,36.307075,-109.217627
Eastern Arizona College,,Thatcher,Arizona,0,0,0,0,0,0,Graham,32.819902,-109.730245
Gila Community College,,Globe,Arizona,0,0,0,0,0,0,Gila,33.402426,-110.789247
Chandler–Gilbert Community College,https://www.cgc.edu/degrees-certificates/data-analytics,Chandler,Arizona,1,1,0,1,1,0,Maricopa,33.330091,-111.863156
Estrella Mountain Community College,https://www.estrellamountain.edu/degrees-certificates/computer-and-information-technology/data-analytics-5884-ccl,Avondale,Arizona,1,1,0,1,0,0,Maricopa,33.432114,-112.343754
GateWay Community College,https://www.gatewaycc.edu/degrees-certificates/computer-and-information-technology/data-analytics-5884-ccl,Phoenix,Arizona,1,1,0,1,0,0,Maricopa,33.451,-112.0685
Glendale Community College,,Glendale,Arizona,0,0,0,0,0,0,Maricopa,33.531122,-112.176703
Mesa Community College,https://www.mesacc.edu/programs/data-analytics,Mesa,Arizona,1,1,0,1,1,0,Maricopa,33.43174,-111.846931
Paradise Valley Community College,https://www.paradisevalley.edu/degrees-certificates/computer-and-information-technology/data-analytics-5884-ccl,Phoenix,Arizona,1,1,0,1,0,0,Maricopa,33.451,-112.0685
Phoenix College,,Phoenix,Arizona,0,0,0,0,0,0,Maricopa,33.451,-112.0685
Rio Salado College,https://www.riosalado.edu/degrees-certificates/computer-and-information-technology/data-analytics-5884-ccl?__hstc=87788103.1c6ffc6d05a4970c1a62e1750af9f918.1732485913228.1732485913228.1732485913228.1&__hssc=87788103.1.1732485913228&__hsfp=832949540,Tempe,Arizona,1,1,0,1,0,0,Maricopa,33.4273,-111.9307
Scottsdale Community College,https://www.scottsdalecc.edu/degrees-certificates/data-analytics,Scottsdale,Arizona,1,1,0,1,1,0,Maricopa,33.521767,-111.904926
South Mountain Community College,,Phoenix,Arizona,0,0,0,0,0,0,Maricopa,33.451,-112.0685
Mohave Community College,,Bullhead City,Arizona,0,0,0,0,0,0,Mohave,35.1678,-114.543
Northland Pioneer College,,Holbrook,Arizona,0,0,0,0,0,0,Navajo,34.908451,-110.143412
Pima Community College,,Tucson,Arizona,0,0,0,0,0,0,Pima,32.213873,-110.969445
Tohono Oʼodham Community College,,Sells,Arizona,0,0,0,0,0,0,Pima,32.031572,-111.922207
Yavapai College,,Prescott,Arizona,0,0,0,0,0,0,Yavapai,34.629909,-113.022459
Borough of Manhattan Community College,https://www.bmcc.cuny.edu/academics/departments/math/data-science/,New York City,New York,0,0,1,0,1,1,New York,40.717455,-74.012247
Bronx Community College,,New York City,New York,0,0,0,0,0,0,Bronx,40.857516,-73.912929
Cayuga Community College,,Auburn,New York,0,0,0,0,0,0,Cayuga,42.929958,-76.562605
Clinton Community College,,Plattsburgh,New York,0,0,0,0,0,0,Clinton,44.692715,-73.465969
Columbia-Greene Community College,,Hudson,New York,0,0,0,0,0,0,Columbia,42.246978,-73.755248
SUNY Corning Community College,,Corning,New York,0,0,0,0,0,0,Steuben,42.138331,-77.047546
SUNY Dutchess Community College,https://www.sunydutchess.edu/academics/programs/computer-information-systems-programs/data-analysis.html,Poughkeepsie,New York,1,1,0,1,0,0,Dutchess,41.702082,-73.9218
Finger Lakes Community College,https://www.flcc.edu/pdf/syllabi/MAT165.pdf,Canandaigua,New York,0,0,0,0,0,1,Ontario,42.868866,-77.284561
Fulton-Montgomery Community College,,Johnstown,New York,0,0,0,0,0,0,Fulton,43.006923,-74.37149
Guttman Community College,,New York City,New York,0,0,0,0,0,0,New York,40.752914,-73.984062
Herkimer College,https://www.herkimer.edu/academics/programs-and-majors/program/75/competitive-analytics-a-a-s,Herkimer,New York,1,1,0,1,0,0,Herkimer,43.030696,-74.98757
Hostos Community College,,New York City,New York,0,0,0,0,0,0,Bronx,40.817422,-73.927207
Hudson Valley Community College,https://catalog.hvcc.edu/preview_program.php?catoid=12&poid=2017&hl=%22data+analytics%22&returnto=search,Troy,New York,1,1,0,1,0,0,Rensselaer,42.728748,-73.668263
Jamestown Community College,,Jamestown,New York,0,0,0,0,0,0,Chautauqua,42.092845,-79.243989
Jefferson Community College,,Watertown,New York,0,0,0,0,0,0,Jefferson,43.974258,-75.912212
Kingsborough Community College,,New York City,New York,0,0,0,0,0,0,Kings,40.578284,-73.935298
LaGuardia Community College,,New York City,New York,0,0,0,0,0,0,Queens,40.743805,-73.935064
Mohawk Valley Community College,https://catalog.mvcc.edu/current/programs/cert-data-analytics.php,Utica,New York,1,1,0,1,0,0,Oneida,43.087112,-75.231463
Monroe Community College,,Rochester,New York,0,0,0,0,0,0,Monroe,43.1683,-77.6026
Nassau Community College,,Garden City,New York,0,0,0,0,0,1,Nassau,40.72452,-73.648718
SUNY Niagara,,Niagara,New York,0,0,0,0,0,0,Niagara,43.146379,-78.877683
North Country Community College,,Saranac Lake,New York,0,0,0,0,0,0,Franklin,44.324331,-74.132951
Onondaga Community College,,Syracuse,New York,0,0,0,0,0,0,Onondaga,43.0459,-76.1528
Queensborough Community College,,New York City,New York,0,0,0,0,0,0,Queens,40.755417,-73.757401
Rockland Community College,,Suffern,New York,0,0,0,0,0,0,Rockland,41.117654,-74.124098
Schenectady County Community College,,Schenectady,New York,0,0,0,0,0,0,Schenectady,42.8155,-73.9395
Suffolk County Community College,,Selden,New York,0,0,0,0,0,0,Suffolk,40.869883,-73.044848
SUNY Adirondack,,Queensbury,New York,0,0,0,0,0,0,Warren,43.328983,-73.681846
SUNY Broome Community College,,Binghamton,New York,0,0,0,0,0,0,Broome,42.146307,-75.886517
SUNY Erie,,Buffalo,New York,0,0,0,0,0,0,Erie,42.896659,-78.884575
SUNY Orange,,Middletown,New York,0,0,0,0,0,0,Orange,41.457222,-74.412023
SUNY Sullivan,,Loch Sheldrake,New York,0,0,0,0,0,0,Sullivan,41.778899,-74.661406
SUNY Ulster,,Stone Ridge,New York,0,0,0,0,0,0,Ulster,41.861562,-74.169748
Tompkins Cortland Community College,,Dryden,New York,0,0,0,0,0,0,Tompkins,42.486118,-76.287224
Westchester Community College,,Valhalla,New York,0,0,0,0,0,0,Westchester,41.085559,-73.777596
Community College of Vermont,https://catalog.ccv.edu/preview_program.php?catoid=15&poid=740,Montpelier,Vermont,1,1,0,1,0,0,Washington,44.2574,-72.5698
Community College of Rhode Island,https://catalog.ccri.edu/programs-study/computer-studies-information-processing/data-analytics-certificate/,Warwick,Rhode Island,1,1,0,1,0,0,Kent,41.702601,-71.447591
Arkansas Northeastern College,,Blytheville,Arkansas,0,0,0,0,0,0,Mississippi,35.934482,-89.922497
Arkansas State University-Beebe,,Beebe,Arkansas,0,0,0,0,0,0,White,35.093743,-91.907449
Arkansas State University Mid-South,,West Memphis,Arkansas,0,0,0,0,0,0,Crittenden,35.148442,-90.17792
Arkansas State University–Mountain Home,,Mountain Home,Arkansas,0,0,0,0,0,0,Baxter,36.331153,-92.375337
Arkansas State University-Newport,,Newport,Arkansas,0,0,0,0,0,0,Jackson,35.598823,-91.257064
Arkansas State University Three Rivers,,Malvern,Arkansas,0,0,0,0,0,0,Hot Spring,34.355715,-92.829162
Black River Technical College,,Pocahontas,Arkansas,0,0,0,0,0,0,Randolph,36.282876,-90.996782
